team_one_win,duration,type,team_one_barons,team_two_barons,team_one_dragons,team_two_dragons,team_one_rift_heralds,team_two_rift_heralds,team_one_first_baron,team_one_first_blood,team_one_first_dragon,team_one_first_inhibitor,team_one_first_rift_herald,team_one_first_tower,team_one_assists,team_two_assists,team_one_level,team_two_level,team_one_kills,team_two_kills,team_one_obj_damage,team_two_obj_damage,team_one_deaths,team_two_deaths,team_one_gold,team_two_gold,team_one_double_kills,team_two_double_kills,team_one_damage,team_two_damage,team_one_enemy_monsters_killed,team_two_enemy_monsters_killed,team_one_cc_time,team_two_cc_time,team_one_healing,team_two_healing,team_one_champ_damage,team_two_champ_damage,team_one_cs,team_two_cs,team_one_vision_score,team_two_vision_score,team_one_top_avg_cs_diff,team_one_jungle_avg_cs_diff,team_one_mid_avg_cs_diff,team_one_bot_avg_cs_diff,team_one_top_avg_dmg_taken_diff,team_one_jungle_avg_dmg_taken_diff,team_one_mid_avg_dmg_taken_diff,team_one_bot_avg_dmg_taken_diff,team_one_top_avg_xp_diff,team_one_jungle_avg_xp_diff,team_one_mid_avg_xp_diff,team_one_bot_avg_xp_diff,team_one_top_champ,team_one_jungle_champ,team_one_mid_champ,team_one_bot_champ,team_one_top_champ_diff,team_one_jungle_champ_diff,team_one_mid_champ_diff,team_one_bot_champ_diff,team_one_top_champ_type,team_one_jungle_champ_type,team_one_mid_champ_type,team_one_bot_champ_type,team_two_top_champ,team_two_jungle_champ,team_two_mid_champ,team_two_bot_champ,team_two_top_champ_diff,team_two_jungle_champ_diff,team_two_mid_champ_diff,team_two_bot_champ_diff,team_two_top_champ_type,team_two_jungle_champ_type,team_two_mid_champ_type,team_two_bot_champ_type
0,2766,CLASSIC,0,2,2,4,0,0,0,1,1,0,0,1,83,79,89,90,55,60,33224,90409,60,55,85618,88275,4,4,1000389,953897,14,36,264,227,51002,61620,206577,168252,708,635,180,230,2.408333333,0.7,0.291666667,-2.141666667,-795.6833333,-193.8583333,275.1583333,51.875,46.55833333,3.441666667,-56.6,-103.4666667,Quinn,Evelynn,TwistedFate,Senna,5,10,9,7,Marksman,Assassin,Mage,Marksman,Chogath,Skarner,Syndra,Velkoz,5,5,8,8,Tank,Fighter,Mage,Mage
0,1995,CLASSIC,0,1,4,1,2,0,0,1,1,1,1,1,14,36,74,83,17,30,66819,54606,30,17,52228,62430,0,2,604915,743699,3,46,116,103,26401,56479,76829,95328,570,714,116,152,-2.033333333,-0.666666667,-0.4,-1.4,-340.0333333,47.4,-185.3,28.66666667,-98.36666667,-77.2,-59.1,-113.4,Singed,LeeSin,Syndra,Jhin,5,6,8,6,Tank,Fighter,Mage,Marksman,XinZhao,Kayn,Kassadin,Neeko,2,8,8,5,Fighter,Fighter,Assassin,Mage
1,1508,CLASSIC,0,0,3,0,2,0,0,1,1,1,1,1,44,22,61,59,34,15,76951,9927,15,34,48633,39970,3,1,408948,400656,9,0,97,102,22529,18306,69919,47464,386,475,143,87,-2.3,0.35,0.45,-0.45,-1.7,44.35,-212,-323.15,-24.85,3,105.45,104.4,Urgot,MonkeyKing,Malzahar,Ezreal,8,3,6,7,Fighter,Fighter,Mage,Marksman,Gangplank,Udyr,Viktor,Thresh,9,7,9,7,Fighter,Fighter,Mage,Support
1,1222,CLASSIC,0,0,2,0,0,0,0,1,1,1,0,0,35,13,55,50,34,16,21731,12317,16,35,39870,33542,3,1,286285,245773,4,4,65,53,17822,7525,58777,39427,343,308,77,52,0,0,1.65,0.65,0,0,-267.55,-70.95,0,0,49.6,163.2,,Fiora,Neeko,Thresh,0,3,5,7,,Fighter,Mage,Support,Kled,MasterYi,TwistedFate,Pyke,7,4,9,7,Fighter,Assassin,Mage,Support
0,1808,CLASSIC,0,1,1,3,1,1,0,1,0,0,1,0,28,43,71,76,14,21,35925,94585,21,14,52018,57523,3,2,662968,713872,9,24,97,92,34748,43223,63270,67622,719,641,104,137,1.1,0.266666667,2.266666667,-1.033333333,32.23333333,452.5666667,289.3,-305.1,-74.83333333,-63.36666667,16.53333333,-124.2666667,Garen,Rengar,Yone,Lulu,5,8,8,5,Fighter,Assassin,Assassin,Support,Nasus,Zac,Ryze,Tristana,6,8,7,4,Fighter,Tank,Mage,Marksman
1,1412,CLASSIC,1,0,2,0,0,1,1,1,1,1,0,1,59,13,68,58,41,13,57056,12564,13,41,52343,38764,7,1,454411,410313,22,8,96,79,27971,20159,80181,52935,405,491,94,68,-0.05,1.45,-3.8,-0.55,-21.35,18.25,-159.05,-514.8,39.05,155,-61.25,173,Volibear,Udyr,Leblanc,Twitch,3,7,9,6,Fighter,Fighter,Assassin,Marksman,Mordekaiser,Khazix,Kassadin,Xayah,4,6,8,5,Fighter,Assassin,Assassin,Marksman
0,1622,CLASSIC,0,1,1,3,1,1,0,1,0,0,0,0,23,51,62,72,16,29,32684,68406,29,16,43422,54467,1,2,482083,535819,8,4,108,99,18569,27681,50042,63906,507,517,131,122,0,0,-0.15,0.35,0,0,2.3,-59.65,0,0,8.2,-45.2,,Udyr,Katarina,Kaisa,0,7,8,6,,Fighter,Assassin,Marksman,Pantheon,Viego,Garen,Rell,4,5,5,0,Fighter,Assassin,Fighter,Tank
0,1459,CLASSIC,0,1,1,2,0,1,0,1,0,0,0,1,12,44,62,68,17,28,23924,48511,28,17,42370,48447,0,3,443821,451995,25,8,77,124,25075,30119,69976,66718,503,501,132,90,-0.15,-1.1,0,0,-70.5,-195.3,0,0,-15.95,-21.2,0,0,MonkeyKing,Viego,Zyra,Caitlyn,3,5,7,6,Fighter,Assassin,Mage,Marksman,Garen,Kayn,AurelionSol,Jinx,5,8,7,6,Fighter,Fighter,Mage,Marksman
1,1660,CLASSIC,1,0,2,2,0,1,1,0,0,1,0,0,63,48,68,63,32,28,49792,40962,28,32,52414,48007,5,4,430114,437894,0,6,132,218,33058,23411,72917,72256,462,414,125,124,2.35,0.1,1,-2.05,11.15,-116.85,-40.35,-35,6.35,6.7,31.6,-114.05,Darius,Elise,Syndra,Jhin,2,9,8,6,Fighter,Mage,Mage,Marksman,Malphite,Nocturne,XinZhao,Lux,2,4,2,5,Tank,Assassin,Fighter,Mage
1,1773,CLASSIC,1,0,4,1,1,0,1,0,1,1,1,1,38,38,76,67,35,27,73876,28641,27,35,59942,51492,5,0,683935,524343,43,4,106,112,40508,35111,104659,75800,641,604,131,100,-0.75,1.15,2.55,-2.05,-431.95,-63.75,-205.4,-281.35,-75.35,71.25,153.35,11.65,Camille,Kindred,Kassadin,Morgana,4,4,8,1,Fighter,Marksman,Assassin,Mage,Nasus,Warwick,XinZhao,Jinx,6,3,2,6,Fighter,Fighter,Fighter,Marksman
1,1873,CLASSIC,1,0,2,3,0,2,1,0,0,1,0,0,50,28,76,67,26,18,43351,51509,19,26,56540,53493,3,1,641104,621504,0,25,128,87,24763,38066,77509,66552,679,568,167,168,0,-1,0,1.366666667,0,101.5333333,0,53.7,0,-36.13333333,0,170.4333333,Kennen,Hecarim,,Ezreal,4,6,0,7,Mage,Fighter,,Marksman,Gangplank,Viego,XinZhao,Tristana,9,5,2,4,Fighter,Assassin,Fighter,Marksman
0,1883,CLASSIC,0,2,2,3,1,0,0,1,0,0,1,1,29,66,67,79,22,31,32609,76590,31,22,51034,60068,1,4,519911,612502,8,8,175,81,18258,44210,88420,79757,630,578,153,157,0.933333333,-0.166666667,0.466666667,0.766666667,-95.23333333,-378.4666667,-111.9,-284.5666667,-64.96666667,-146.8,-65.46666667,-162.2333333,Teemo,Taric,Qiyana,Ashe,6,3,8,4,Marksman,Support,Assassin,Marksman,Urgot,Khazix,Katarina,Alistar,8,6,8,7,Fighter,Assassin,Assassin,Tank
1,2349,CLASSIC,1,1,3,3,1,1,0,0,0,1,0,0,61,23,86,81,35,18,70856,78073,18,35,71993,63314,6,1,853675,915972,29,19,154,119,46395,40669,109130,104615,761,792,210,222,0.075,0.4,0.7,-1.075,-34.15,-116.75,325.025,-70.725,66.675,143.275,138.2,94.8,Garen,Jax,Diana,Morgana,5,5,4,1,Fighter,Fighter,Fighter,Mage,Gnar,MasterYi,Ziggs,Bard,8,4,4,9,Fighter,Assassin,Mage,Support
1,198,CLASSIC,0,0,0,0,0,0,0,1,0,0,0,0,1,1,13,12,1,2,0,0,2,1,5028,4963,0,0,14436,9584,0,0,2,5,1000,196,1970,2676,37,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
1,1228,CLASSIC,0,0,2,0,1,0,0,0,1,1,1,1,26,16,59,53,27,15,38308,1344,15,27,42422,31241,3,0,394928,259652,21,11,71,71,14214,16253,55961,41861,490,352,88,49,3.7,1.2,1.5,0.45,-160.65,-315.55,-52,3.7,142,100.6,21.2,170.65,Garen,Graves,Ryze,Bard,5,3,7,9,Fighter,Marksman,Mage,Support,Shen,XinZhao,Diana,Swain,4,2,4,8,Tank,Fighter,Fighter,Mage
1,2155,CLASSIC,2,0,5,0,1,0,1,0,1,1,1,1,41,39,86,77,40,30,97999,16046,30,40,70707,59974,4,0,789638,636098,37,4,73,122,43042,28085,110376,90708,672,634,223,177,1.775,-0.475,-0.45,-0.45,-269.25,246.9,-97.3,-158.4,87.875,167.525,66.85,125.475,Urgot,Khazix,Rumble,Shaco,8,6,10,9,Fighter,Assassin,Fighter,Assassin,Volibear,Evelynn,Talon,Jhin,3,10,7,6,Fighter,Assassin,Assassin,Marksman
1,1874,CLASSIC,1,0,4,0,1,0,1,1,1,1,1,0,47,33,79,74,36,25,73846,20242,25,37,63802,56498,7,1,788019,640724,28,9,71,92,46259,34286,89595,85834,681,644,136,146,0,-0.833333333,0,0,0,-520.9333333,0,0,0,-59,0,0,Tristana,Hecarim,Gangplank,,4,6,9,0,Marksman,Fighter,Fighter,,Shen,Sylas,Yasuo,Xerath,4,5,10,8,Tank,Mage,Fighter,Mage
0,1135,CLASSIC,0,0,0,3,0,1,0,0,0,0,0,0,0,18,46,58,0,18,6865,53595,18,0,23033,37542,0,1,228105,421916,1,26,31,91,12577,25149,20067,46054,353,449,58,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,
0,1978,CLASSIC,1,1,2,3,0,2,1,0,0,0,0,0,40,67,73,82,29,41,63695,85899,41,29,58837,69100,4,4,642196,870492,0,46,104,159,19138,63336,91737,99244,642,650,148,146,0,0,0.633333333,2.133333333,0,0,292.1,2.3,0,0,-51.63333333,28.06666667,Heimerdinger,Rammus,Yasuo,Malphite,8,5,10,2,Mage,Tank,Fighter,Tank,,Trundle,Malzahar,Yuumi,0,5,6,2,,Fighter,Mage,Support
1,1682,CLASSIC,1,0,1,3,2,0,1,1,1,1,1,1,76,50,72,64,39,23,72013,24726,23,39,60180,47757,7,3,617742,453782,36,0,301,129,34154,27193,96787,82025,596,516,144,126,-0.95,0.35,0.4,2.45,31.75,-27.6,165.35,-143,-101.95,79,41.75,73.95,Volibear,Hecarim,Nocturne,Kaisa,3,6,4,6,Fighter,Fighter,Assassin,Marksman,Gnar,JarvanIV,TwistedFate,Sett,8,5,9,2,Fighter,Tank,Mage,Fighter
0,2023,CLASSIC,1,1,3,2,0,2,0,1,0,0,0,0,45,78,76,78,32,40,65756,69405,40,32,59926,65329,2,3,647261,659289,4,37,146,165,45105,33821,112028,125979,586,552,149,147,-0.666666667,-0.166666667,0.866666667,0.5,-522.3,-250.9,193.0333333,314.4333333,-100.8,-155.4666667,144.5333333,-3.733333333,Urgot,Elise,Yone,Senna,8,9,8,7,Fighter,Mage,Assassin,Marksman,Garen,Udyr,Talon,Ezreal,5,7,7,7,Fighter,Fighter,Assassin,Marksman
1,1979,CLASSIC,1,0,2,2,0,1,1,0,0,1,0,0,52,17,79,71,41,18,62032,33100,18,41,66234,55292,8,2,782501,616428,44,14,96,148,45990,20929,107052,74272,601,664,149,156,0,-0.5,0,-1.633333333,0,320.9666667,0,-333.6,0,112.2333333,0,53.83333333,Fiora,Hecarim,Corki,MissFortune,3,6,6,1,Fighter,Fighter,Marksman,Marksman,,Graves,Volibear,Morgana,0,3,3,1,,Marksman,Fighter,Mage
0,1740,CLASSIC,0,1,0,4,0,1,0,0,0,0,0,0,16,44,68,75,18,38,13386,69951,38,18,46328,59839,1,3,494012,630256,8,37,73,126,29190,32796,62409,91259,525,558,119,133,0,0,-1.4,-1.65,0,0,44.2,108.75,0,0,-184.95,-61.9,Sett,Kayn,Katarina,Twitch,2,8,8,6,Fighter,Fighter,Assassin,Marksman,,Garen,Yone,Jhin,0,5,8,6,,Fighter,Assassin,Marksman
0,1655,CLASSIC,0,1,0,4,0,1,0,0,0,0,0,1,22,54,66,74,20,36,13076,72525,36,20,45683,56986,2,6,454277,541419,5,46,81,91,27964,34977,66241,81814,508,548,128,125,1.6,-1.3,1,-2.65,188.4,-213.65,-39.8,85.55,103.7,-183.45,0.3,-181.15,Gnar,Fiddlesticks,Gangplank,Nami,8,9,9,5,Fighter,Mage,Fighter,Support,Shaco,Ekko,Qiyana,Kaisa,9,8,8,6,Assassin,Assassin,Assassin,Marksman
1,1673,CLASSIC,0,0,4,0,2,0,0,1,1,1,1,1,34,7,70,63,30,11,69080,11145,11,30,50899,39836,2,0,571800,440323,31,8,149,88,44424,26598,80523,66545,547,529,142,110,-4.05,0.35,0,0,128.4,-44.7,0,0,-191.9,32.95,0,0,Garen,Fiddlesticks,Jhin,Swain,5,9,6,8,Fighter,Mage,Marksman,Mage,Gnar,Ekko,Zed,Seraphine,8,8,7,0,Fighter,Assassin,Assassin,Mage
